"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"Antony Waste Handling Cell Ltd.","21-Dec-2020","315","299.99","4.46","18.57","13.72","9.82","01-Jan-2021","436.10","407.35","29.32"
"Mrs.Bectors Food Specialities Ltd.","15-Dec-2020","288","540.54","71.83","619.66","25.44","137.63","24-Dec-2020","500.00","594.20","106.32"
"Burger King India Ltd.","02-Dec-2020","60","810.00","35.18","357.06","56.92","85.64","14-Dec-2020","112.50","135.00","125"
"Gland Pharma Ltd.","09-Nov-2020","1,500","6,479.55","3.16","0.50","0.19","1.72","20-Nov-2020","1,710.00","1,819.55","21.3"
"Equitas Small Finance Bank Ltd.","20-Oct-2020","33","517.60","2.15","0.16","1.53","1.53","02-Nov-2020","31.10","32.80","-0.61"
"Likhitha Infrastructure Ltd.","29-Sep-2020","120","61.20","21.00","1.45","19.48","7.96","15-Oct-2020","130.00","136.50","13.75"
"UTI Asset Management Co.Ltd.","29-Sep-2020","554","2,159.88","1.96","0.58","1.97","1.75","12-Oct-2020","500.00","476.20","-14.04"
"Mazagon Dock Shipbuilders Ltd.","29-Sep-2020","145","443.69","89.87","673.67","32.15","155.51","12-Oct-2020","214.90","171.95","18.59"
"Angel Broking Ltd.","22-Sep-2020","306","600.00","2.90","0.51","3.36","2.70","05-Oct-2020","275.00","275.80","-9.87"
"Computer Age Management Services Ltd.","21-Sep-2020","1,230","2,243.12","29.90","111.31","4.85","33.02","01-Oct-2020","1,518.00","1,401.60","13.95"
"Chemcon Speciality Chemicals Ltd.","21-Sep-2020","340","318.00","44.62","445.91","35.79","101.72","01-Oct-2020","731.00","584.80","72"
"Route Mobile Ltd.","09-Sep-2020","350","600.00","37.31","193.78","11.54","51.76","21-Sep-2020","717.00","651.30","86.09"
"Happiest Minds Technologies Ltd.","07-Sep-2020","166","702.02","31.96","348.43","60.30","82.26","17-Sep-2020","350.00","370.95","123.46"
"Rossari Biotech Ltd.","13-Jul-2020","425","496.25","34.83","236.79","6.20","55.11","23-Jul-2020","669.25","741.65","74.51"
"SBI Cards & Payment Services Ltd.","02-Mar-2020","755","10,340.79","23.41","43.42","2.17","19.21","16-Mar-2020","661.00","681.40","-9.75"
