"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"Sah Polymers Ltd.","30-Dec-2022","65","66.30","1.52","32.79","38.62","9.92","12-Jan-2023","85.00","89.25","37.31"
"Radiant Cash Management Services Ltd.","23-Dec-2022","94","256.64","1.68","1.07","0.30","1.10","04-Jan-2023","103.00","104.90","11.6"
"Elin Electronics Ltd.","20-Dec-2022","247","475.00","2.53","3.35","2.26","2.56","30-Dec-2022","244.00","227.65","-7.83"
"KFin Technologies Ltd.","19-Dec-2022","366","1,500.00","2.41","0.12","1.38","1.96","29-Dec-2022","367.00","363.85","-0.59"
"Landmark Cars Ltd.","13-Dec-2022","506","552.00","4.34","1.34","0.59","2.58","23-Dec-2022","471.00","458.40","-9.41"
"Abans Holdings Ltd.","12-Dec-2022","270","345.60","4.09","1.47","0.39","1.08","23-Dec-2022","273.00","218.40","-19.11"
"Sula Vineyards Ltd.","12-Dec-2022","357","960.35","2.33","1.45","1.58","1.93","22-Dec-2022","358.00","331.15","-7.24"
"Uniparts India Ltd.","30-Nov-2022","577","835.61","26.93","19.55","4.63","17.98","12-Dec-2022","575.00","539.65","-6.47"
"Dharmaj Crop Guard Ltd.","28-Nov-2022","237","251.09","19.61","60.64","22.62","26.69","08-Dec-2022","266.05","266.30","12.36"
"Keystone Realtors Ltd.","14-Nov-2022","541","635.00","2.36","2.82","0.53","1.79","24-Nov-2022","555.00","556.85","2.93"
"Inox Green Energy Services Ltd.","11-Nov-2022","65","740.00","1.10","0.49","4.91","1.39","23-Nov-2022","60.00","59.10","-9.08"
"Kaynes Technology India Ltd.","10-Nov-2022","587","857.82","40.45","20.67","4.21","24.76","22-Nov-2022","778.00","689.95","17.54"
"Five-Star Business Finance Ltd.","09-Nov-2022","474","1,588.51","1.68","0.82","0.14","1.01","21-Nov-2022","468.80","490.00","3.38"
"Archean Chemical Industries Ltd.","09-Nov-2022","407","1,462.30","20.35","13.77","10.06","18.34","21-Nov-2022","450.00","458.15","12.57"
"Global Health Ltd.","03-Nov-2022","336","2,205.57","12.42","3.95","0.87","7.11","16-Nov-2022","401.00","415.30","23.6"
"Bikaji Foods International Ltd.","03-Nov-2022","300","880.86","30.19","7.06","4.64","17.63","16-Nov-2022","322.80","317.45","5.82"
"Fusion Micro Finance Ltd.","02-Nov-2022","368","1,103.99","4.03","1.04","0.50","2.35","15-Nov-2022","359.50","324.80","-11.74"
"DCX Systems Ltd.","31-Oct-2022","207","500.00","37.02","46.05","63.70","41.04","11-Nov-2022","286.25","308.80","49.18"
"Tracxn Technologies Ltd.","10-Oct-2022","80","309.38","1.37","0.71","4.64","1.60","20-Oct-2022","84.50","93.25","16.56"
"Electronics Mart India Ltd.","04-Oct-2022","59","500.00","71.85","66.93","20.33","53.08","17-Oct-2022","90.00","84.50","43.22"
"Harsha Engineers International Ltd.","14-Sep-2022","330","755.00","76.81","69.41","17.95","54.91","26-Sep-2022","450.00","486.50","47.42"
"Tamilnad Mercantile Bank Ltd.","05-Sep-2022","510","807.84","1.26","2.89","6.00","1.98","15-Sep-2022","495.00","509.65","-0.07"
"Dreamfolks Services Ltd.","24-Aug-2022","326","562.10","28.84","36.57","35.33","30.65","06-Sep-2022","508.70","462.40","41.84"
"Syrma SGS Technology Ltd.","12-Aug-2022","220","840.13","39.83","17.68","4.37","24.10","26-Aug-2022","260.00","310.50","41.14"
"Aether Industries Ltd.","24-May-2022","642","808.04","8.34","2.48","0.59","4.72","03-Jun-2022","704.00","774.40","20.62"
"eMudhra Ltd.","20-May-2022","256","412.79","2.17","0.70","1.45","1.70","01-Jun-2022","270.00","257.90","0.74"
"Ethos Ltd.","18-May-2022","878","402.26","1.37","1.93","0.24","1.06","30-May-2022","825.00","803.10","-8.53"
"Paradeep Phosphates Ltd.","17-May-2022","42","1,501.73","1.99","0.67","0.86","1.39","27-May-2022","44.00","43.90","4.52"
"Delhivery Ltd.","11-May-2022","487","5,235.00","1.73","0.04","0.27","1.33","24-May-2022","495.20","536.35","10.13"
"Venus Pipes & Tubes Ltd.","11-May-2022","326","165.42","5.36","14.76","13.33","9.56","24-May-2022","337.50","354.35","8.7"
"Prudent Corporate Advisory Services Ltd.","10-May-2022","630","428.28","1.57","0.74","0.37","1.03","20-May-2022","650.00","561.75","-10.83"
"Life Insurance Corp.of India","04-May-2022","949","20,557.23","1.73","2.43","1.61","2.05","17-May-2022","872.00","875.25","-7.77"
"Rainbow Children's Medicare Ltd.","27-Apr-2022","542","1,580.85","16.13","3.81","0.78","8.82","10-May-2022","510.00","450.20","-16.94"
"Campus Activewear Ltd.","26-Apr-2022","292","1,399.77","61.38","21.54","6.22","35.95","09-May-2022","360.00","378.90","29.76"
"Hariom Pipe Industries Ltd.","30-Mar-2022","153","130.05","1.87","6.80","6.94","5.37","13-Apr-2022","220.00","231.00","50.98"
"Veranda Learning Solutions Ltd.","29-Mar-2022","137","200.00","1.78","3.81","4.40","2.35","11-Apr-2022","125.00","131.25","-4.2"
"Uma Exports Ltd.","28-Mar-2022","68","60.00","2.95","1.39","5.81","4.47","07-Apr-2022","76.00","79.80","17.35"
"Vedant Fashions Ltd.","04-Feb-2022","866","3,149.19","3.61","0.81","0.16","1.99","16-Feb-2022","935.00","933.55","7.8"
"Adani Wilmar Ltd.","27-Jan-2022","230","3,600.00","2.96","59.83","3.39","13.44","08-Feb-2022","227.00","268.25","16.63"
"AGS Transact Technologies Ltd.","19-Jan-2022","175","680.00","1.76","24.60","1.88","5.23","31-Jan-2022","175.00","161.05","-7.97"
