"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"Powerica Ltd.","24-Mar-2026","395","1,100.00","2.53","0.45","0.15","1.38","02-Apr-2026","366.00","390.00","-1.27"
"Sai Parenteral's Ltd.","24-Mar-2026","392","408.79","1.34","2.46","0.12","1.08","02-Apr-2026","400.00","405.70","3.49"
"Amir Chand Jagdish Kumar (Exports) Ltd.","24-Mar-2026","212","440.00","1.11","13.35","1.41","3.05","02-Apr-2026","200.00","180.00","-15.09"
"Central Mine Planning & Design Institute Ltd.","20-Mar-2026","172","1,841.45","2.02","0.33","0.31","1.03","30-Mar-2026","160.00","154.06","-10.43"
"GSP Crop Science Ltd.","16-Mar-2026","320","400.00","1.66","3.09","0.40","1.44","24-Mar-2026","328.00","356.25","11.33"
"Innovision Ltd.","10-Mar-2026","519","319.25","12.83","8.33","0.59","3.35","23-Mar-2026","467.70","374.20","-27.9"
"Rajputana Stainless Ltd.","09-Mar-2026","122","254.98","2.50","2.45","0.24","1.06","19-Mar-2026","122.00","113.03","-7.35"
"SEDEMAC Mechatronics Ltd.","04-Mar-2026","1,352","1,087.35","3.99","0.84","0.19","2.19","11-Mar-2026","1,535.00","1,451.10","7.33"
"Omnitech Engineering Ltd.","25-Feb-2026","227","583.00","1.90","0.72","0.33","1.18","05-Mar-2026","202.00","204.93","-9.72"
"PNGS Reva Diamond Jewellery Ltd.","24-Feb-2026","386","379.52","1.22","1.56","1.34","1.29","04-Mar-2026","375.00","411.70","6.66"
"Shree Ram Twistex Ltd.","23-Feb-2026","104","110.24","3.72","208.14","72.84","41.29","02-Mar-2026","68.00","71.40","-31.35"
"Clean Max Enviro Energy Solutions Ltd.","23-Feb-2026","1,053","3,079.88","1.81","0.57","0.06","1.00","02-Mar-2026","960.00","867.50","-17.62"
"Gaudium IVF & Women Health Ltd.","20-Feb-2026","79","165.00","1.23","13.60","7.36","5.23","27-Feb-2026","83.00","80.26","1.59"
"Aye Finance Ltd.","09-Feb-2026","129","1,010.00","1.24","0.05","0.77","1.02","16-Feb-2026","129.00","128.91","-0.07"
"Fractal Analytics Ltd.","09-Feb-2026","900","2,833.90","2.38","1.07","1.01","2.01","16-Feb-2026","876.00","847.15","-5.87"
"Shadowfax Technologies Ltd.","20-Jan-2026","124","1,907.27","2.22","0.84","2.33","2.02","28-Jan-2026","112.60","109.98","-11.31"
"Amagi Media Labs Ltd.","13-Jan-2026","361","1,788.62","13.85","38.30","9.47","17.08","21-Jan-2026","318.00","348.25","-3.53"
"Bharat Coking Coal Ltd.","09-Jan-2026","23","1,068.78","124.54","253.20","46.99","107.48","19-Jan-2026","45.00","40.58","76.43"
"Om Power Transmission Ltd.","09-Apr-2026","","150.06","","","","","","","","0"
