"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"Astron Paper & Board Mill Ltd.","15-Dec-2017","50","69.83","102.92","394.14","74.37","240.58","29-Dec-2017","115.00","120.75","141.5"
"Future Supply Chain Solutions Ltd.","06-Dec-2017","664","649.70","5.62","11.06","3.09","5.55","18-Dec-2017","664.00","686.35","3.37"
"Shalby Ltd.","05-Dec-2017","248","504.80","2.41","0.42","2.83","2.26","15-Dec-2017","239.70","239.60","-3.39"
"HDFC Standard Life Insurance Co.Ltd.","07-Nov-2017","290","8,695.01","7.22","2.23","0.88","3.82","17-Nov-2017","310.00","344.60","18.83"
"Khadim India Ltd.","02-Nov-2017","750","543.06","1.65","0.10","2.13","1.59","14-Nov-2017","730.00","688.85","-8.15"
"New India Assurance Co.Ltd.,The","01-Nov-2017","800","9,585.82","2.33","0.11","0.10","1.19","13-Nov-2017","750.00","727.10","-9.11"
"Mahindra Logistics Ltd.","31-Oct-2017","429","828.88","6.84","1.84","5.75","5.68","10-Nov-2017","429.00","429.50","0.12"
"Reliance Nippon Life Asset Management Ltd.","25-Oct-2017","252","1,542.24","47.51","210.47","5.39","57.21","06-Nov-2017","295.90","284.40","12.86"
"General Insurance Corp.of India","11-Oct-2017","912","11,256.83","2.24","0.11","0.59","1.34","25-Oct-2017","850.00","874.30","-4.13"
"Indian Energy Exchange Ltd.","09-Oct-2017","1,650","1,000.73","2.52","0.59","2.41","2.19","23-Oct-2017","1,500.00","1,629.15","-1.26"
"MAS Financial Services Ltd.","06-Oct-2017","459","460.04","60.42","380.20","15.13","91.00","18-Oct-2017","660.00","654.40","42.57"
"Godrej Agrovet Ltd.","04-Oct-2017","460","1,157.31","62.67","238.28","7.37","68.46","16-Oct-2017","615.60","595.65","29.49"
"Prataap Snacks Ltd.","22-Sep-2017","938","481.60","31.80","101.01","8.02","33.59","05-Oct-2017","1,270.00","1,180.65","25.87"
"SBI Life Insurance Co.Ltd.","20-Sep-2017","700","8,388.73","5.63","0.64","0.78","2.86","03-Oct-2017","735.00","707.55","1.08"
"ICICI Lombard General Insurance Co.Ltd.","15-Sep-2017","661","5,700.94","3.90","0.76","1.15","2.39","27-Sep-2017","651.10","681.20","3.06"
"Capacit'e Infraprojects Ltd.","13-Sep-2017","250","400.00","54.34","647.11","16.96","130.17","25-Sep-2017","399.00","342.55","37.02"
"Matrimony.com Ltd.","11-Sep-2017","985","496.88","1.39","0.28","17.10","2.79","21-Sep-2017","985.00","904.65","-8.16"
"Dixon Technologies (India) Ltd.","06-Sep-2017","1,766","599.28","54.50","345.43","10.03","82.58","18-Sep-2017","2,725.00","2,891.55","63.73"
"Bharat Road Network Ltd.","06-Sep-2017","205","600.65","1.16","1.05","5.22","1.55","18-Sep-2017","205.00","208.45","1.68"
"Apex Frozen Foods Ltd.","22-Aug-2017","175","152.25","1.38","7.22","8.08","4.41","04-Sep-2017","202.00","212.10","21.2"
"Cochin Shipyard Ltd.","01-Aug-2017","432","1,442.93","63.51","287.11","7.98","75.74","11-Aug-2017","440.15","528.15","22.26"
"Security & Intelligence Services (India) Ltd.","31-Jul-2017","815","779.58","2.92","1.65","18.65","4.30","10-Aug-2017","879.80","757.05","-7.11"
"Salasar Techno Engineering Ltd.","12-Jul-2017","108","35.95","","483.55","56.57","270.06","25-Jul-2017","250.00","262.50","143.06"
"AU Small Finance Bank Ltd.","28-Jun-2017","358","1,912.51","32.11","141.91","3.35","37.82","10-Jul-2017","530.00","541.65","51.3"
"GTPL Hathway Ltd.","21-Jun-2017","170","484.80","1.21","2.80","0.93","1.35","04-Jul-2017","170.00","171.65","0.97"
"Central Depository Services (India) Ltd.","19-Jun-2017","149","523.99","60.20","558.00","22.30","119.21","30-Jun-2017","250.00","261.60","75.57"
"Eris Lifesciences Ltd.","16-Jun-2017","603","1,740.49","2.49","0.38","3.31","2.25","29-Jun-2017","611.00","601.50","-0.25"
"Tejas Networks Ltd.","14-Jun-2017","257","776.69","1.53","0.19","2.92","1.47","27-Jun-2017","257.00","263.50","2.53"
"PSP Projects Ltd.","17-May-2017","210","211.68","4.01","9.39","6.05","5.02","29-May-2017","190.00","199.50","-5"
"Housing & Urban Development Corp.Ltd.","08-May-2017","60","1,209.78","55.18","330.54","10.02","79.16","19-May-2017","73.00","72.55","20.92"
"S.Chand & Co.Ltd.","26-Apr-2017","670","728.56","18.61","205.73","5.79","42.19","09-May-2017","700.00","676.00","0.9"
"Shankara Building Products Ltd.","22-Mar-2017","460","345.00","20.36","89.15","14.72","28.70","05-Apr-2017","555.05","632.45","37.49"
"CL Educate Ltd.","20-Mar-2017","502","238.95","2.21","0.18","1.54","1.67","31-Mar-2017","402.00","422.10","-15.92"
"Avenue Supermarts Ltd.","08-Mar-2017","299","1,870.00","60.02","272.20","7.09","73.32","21-Mar-2017","600.00","641.60","114.58"
"Music Broadcast Ltd.","06-Mar-2017","333","488.53","16.77","109.08","9.60","28.11","17-Mar-2017","413.00","372.90","11.98"
"BSE Ltd.","23-Jan-2017","806","1,243.43","20.13","158.43","6.12","35.97","03-Feb-2017","1,085.00","1,069.20","32.66"
