"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"Laurus Labs Ltd.","06-Dec-2016","428","1,330.51","4.85","3.54","1.59","3.49","19-Dec-2016","489.90","480.40","12.24"
"Sheela Foam Ltd.","29-Nov-2016","730","510.00","6.89","3.64","0.45","4.15","09-Dec-2016","860.00","1,032.00","41.37"
"Varun Beverages Ltd.","26-Oct-2016","445","1,112.50","2.60","0.34","0.74","1.58","08-Nov-2016","430.00","459.50","3.26"
"PNB Housing Finance Ltd.","25-Oct-2016","775","3,000.00","16.06","80.25","1.34","20.40","07-Nov-2016","860.00","891.15","14.99"
"Endurance Technologies Ltd.","05-Oct-2016","472","1,161.73","21.81","127.33","2.57","30.91","19-Oct-2016","572.00","646.90","37.06"
"HPL Electric & Power Ltd.","22-Sep-2016","202","361.00","3.37","25.45","3.55","6.74","04-Oct-2016","190.00","189.30","-6.29"
"ICICI Prudential Life Insurance Co.Ltd.","19-Sep-2016","334","6,056.79","5.35","28.53","1.33","7.88","29-Sep-2016","330.00","297.55","-10.91"
"GNA Axles Ltd.","14-Sep-2016","207","130.41","7.51","210.72","11.31","38.08","26-Sep-2016","252.00","245.05","18.38"
"L&T Technology Services Ltd.","12-Sep-2016","860","894.40","2.66","0.45","1.63","1.97","23-Sep-2016","920.00","869.00","1.05"
"RBL Bank Ltd.","19-Aug-2016","225","1,212.97","34.91","197.29","5.44","48.95","31-Aug-2016","274.20","299.40","33.07"
"S.P.Apparels Ltd.","02-Aug-2016","268","239.12","1.63","5.23","1.84","2.24","12-Aug-2016","275.00","288.75","7.74"
"Dilip Buildcon Ltd.","01-Aug-2016","219","653.98","4.70","80.83","2.29","15.28","11-Aug-2016","240.00","251.75","14.95"
"Advanced Enzyme Technologies Ltd.","20-Jul-2016","896","411.49","38.60","391.88","11.12","81.54","01-Aug-2016","1,210.00","1,178.10","31.48"
"Larsen & Toubro Infotech Ltd.","11-Jul-2016","710","1,236.38","8.55","10.59","6.92","8.29","21-Jul-2016","667.00","697.60","-1.75"
"Quess Corp Ltd.","29-Jun-2016","317","400.00","24.79","397.04","32.80","81.43","12-Jul-2016","500.00","503.10","58.71"
"Mahanagar Gas Ltd.","21-Jun-2016","421","1,038.88","31.13","181.07","6.58","44.67","01-Jul-2016","540.00","520.30","23.59"
"Parag Milk Foods Ltd.","04-May-2016","215","750.54","1.14","2.89","2.01","1.49","19-May-2016","217.50","247.00","14.88"
"Ujjivan Financial Services Ltd.","28-Apr-2016","210","882.50","14.40","134.88","3.80","28.76","10-May-2016","231.90","231.55","10.26"
"Thyrocare Technologies Ltd.","27-Apr-2016","446","479.21","31.17","225.22","8.29","52.27","09-May-2016","665.00","618.80","38.74"
"Equitas Holdings Ltd.","05-Apr-2016","110","2,176.68","6.62","55.84","1.34","12.14","21-Apr-2016","145.10","135.20","22.91"
"Infibeam Incorporation Ltd.","21-Mar-2016","432","450.00","1.03","2.62","1.46","1.31","04-Apr-2016","453.00","445.75","3.18"
"Bharat Wire Ropes Ltd.","18-Mar-2016","45","70.00","1.13","2.23","2.18","1.34","01-Apr-2016","47.25","45.55","1.22"
"Healthcare Global Enterprises Ltd.","16-Mar-2016","218","649.64","1.57","0.40","0.76","1.31","30-Mar-2016","210.20","171.00","-21.56"
"Quick Heal Technologies Ltd.","08-Feb-2016","321","451.25","2.42","37.18","3.72","8.01","18-Feb-2016","305.00","253.85","-20.92"
"TeamLease Services Ltd.","02-Feb-2016","850","423.68","12.23","190.57","10.34","38.72","12-Feb-2016","860.00","1,032.00","21.41"
"Precision Camshafts Ltd.","27-Jan-2016","186","410.19","1.72","0.39","1.87","1.57","08-Feb-2016","165.00","177.45","-4.6"
