"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"Indo Farm Equipment Ltd.","31-Dec-2024","215","260.15","97.11","498.49","102.57","159.23","07-Jan-2025","256.00","273.69","27.3"
"Unimech Aerospace & Manufacturing Ltd.","23-Dec-2024","785","500.00","133.73","275.23","57.86","128.02","31-Dec-2024","1,460.00","1,376.25","75.32"
"Senores Pharmaceuticals Ltd.","20-Dec-2024","391","582.11","40.12","98.10","94.87","54.02","30-Dec-2024","593.70","557.80","42.66"
"Ventive Hospitality Ltd.","20-Dec-2024","643","1,600.00","4.43","14.54","6.19","6.12","30-Dec-2024","716.00","704.35","9.54"
"Carraro India Ltd.","20-Dec-2024","704","1,250.00","1.56","0.59","0.72","1.12","30-Dec-2024","651.00","636.20","-9.63"
"Transrail Lighting Ltd.","19-Dec-2024","432","838.91","79.49","78.10","23.08","58.20","27-Dec-2024","590.00","553.55","28.14"
"DAM Capital Advisors Ltd.","19-Dec-2024","283","840.25","67.08","98.10","27.22","57.65","27-Dec-2024","393.00","415.10","46.68"
"Mamata Machinery Ltd.","19-Dec-2024","243","179.35","94.92","272.75","139.29","136.48","27-Dec-2024","600.00","630.00","159.26"
"Sanathan Textiles Ltd.","19-Dec-2024","321","550.00","32.51","44.26","9.30","26.15","27-Dec-2024","422.30","388.35","20.98"
"Concord Enviro Systems Ltd.","19-Dec-2024","701","500.33","7.39","14.40","5.68","7.84","27-Dec-2024","826.00","827.10","17.99"
"International Gemmological Institute (India) Ltd.","13-Dec-2024","417","4,225.00","19.83","25.84","11.48","19.89","20-Dec-2024","510.00","471.15","12.99"
"Inventurus Knowledge Solutions Ltd.","12-Dec-2024","1,329","2,497.92","32.84","23.13","14.65","29.46","19-Dec-2024","1,900.00","1,960.85","47.54"
"One Mobikwik Systems Ltd.","11-Dec-2024","279","572.00","50.81","114.38","143.52","69.61","18-Dec-2024","440.00","528.00","89.25"
"Sai Life Sciences Ltd.","11-Dec-2024","549","3,042.62","12.54","4.99","1.36","7.50","18-Dec-2024","650.00","764.65","39.28"
"Vishal Mega Mart Ltd.","11-Dec-2024","78","8,000.00","34.65","14.96","2.44","20.42","18-Dec-2024","104.00","111.93","43.5"
"Suraksha Diagnostic Ltd.","29-Nov-2024","441","846.25","1.31","1.39","0.88","1.17","06-Dec-2024","438.00","441.00","0"
"Enviro Infra Engineers Ltd.","22-Nov-2024","148","650.30","63.50","152.57","23.86","62.85","29-Nov-2024","220.00","207.07","39.91"
"NTPC Green Energy Ltd.","19-Nov-2024","108","10,000.00","2.01","0.84","3.60","1.91","27-Nov-2024","111.50","121.65","12.64"
"Zinka Logistics Solutions Ltd.","13-Nov-2024","273","1,114.72","1.53","0.23","1.60","1.34","22-Nov-2024","279.05","260.20","-4.69"
"Niva Bupa Health Insurance Co.Ltd.","07-Nov-2024","74","2,200.00","1.49","0.70","2.77","1.50","14-Nov-2024","78.50","74.00","0"
"Swiggy Ltd.","06-Nov-2024","390","11,327.43","3.01","0.39","1.06","2.42","13-Nov-2024","420.00","456.00","16.92"
"ACME Solar Holdings Ltd.","06-Nov-2024","289","2,900.00","2.12","0.95","3.12","2.04","13-Nov-2024","251.00","253.15","-12.4"
"Sagility India Ltd.","05-Nov-2024","30","2,106.40","2.04","1.88","3.98","2.20","12-Nov-2024","31.06","29.32","-2.27"
"Afcons Infrastructure Ltd.","25-Oct-2024","463","5,430.00","2.19","5.23","0.94","2.20","04-Nov-2024","426.00","474.20","2.42"
"Godavari Biorefineries Ltd.","23-Oct-2024","352","554.75","1.77","0.89","1.68","1.61","30-Oct-2024","308.00","343.20","-2.5"
"Deepak Builders & Engineers India Ltd.","21-Oct-2024","203","260.04","6.03","81.74","38.95","28.91","28-Oct-2024","200.00","161.95","-20.22"
"Waaree Energies Ltd.","21-Oct-2024","1,503","4,321.44","86.51","64.65","11.06","55.98","28-Oct-2024","2,500.00","2,338.90","55.62"
"Hyundai Motor India Ltd.","15-Oct-2024","1,960","27,858.75","3.40","0.57","0.44","1.93","22-Oct-2024","1,934.00","1,819.60","-7.16"
"Garuda Construction & Engineering Ltd.","08-Oct-2024","95","264.10","1.13","8.93","10.56","5.60","15-Oct-2024","105.00","106.36","11.96"
"Diffusion Engineers Ltd.","26-Sep-2024","168","157.96","38.77","76.42","83.84","59.88","04-Oct-2024","193.50","203.17","20.93"
"KRN Heat Exchanger & Refrigeration Ltd.","25-Sep-2024","220","341.95","102.40","428.12","101.07","151.95","03-Oct-2024","480.00","478.79","117.63"
"Manba Finance Ltd.","23-Sep-2024","120","150.84","58.00","511.91","139.75","154.70","30-Sep-2024","150.00","157.45","31.21"
"Western Carriers (India) Ltd.","13-Sep-2024","172","492.88","12.01","46.53","27.21","22.51","24-Sep-2024","171.00","159.44","-7.3"
"Arkade Developers Ltd.","16-Sep-2024","128","410.00","69.48","174.23","58.03","80.78","24-Sep-2024","175.00","165.86","29.58"
"Northern Arc Capital Ltd.","16-Sep-2024","263","777.00","97.41","149.32","32.85","80.97","24-Sep-2024","350.00","323.40","22.97"
"P N Gadgil Jewellers Ltd.","10-Sep-2024","480","1,100.00","58.18","58.89","17.73","44.13","17-Sep-2024","830.00","793.30","65.27"
"Bajaj Housing Finance Ltd.","09-Sep-2024","70","6,560.00","89.67","42.85","7.54","49.63","16-Sep-2024","150.00","165.00","135.71"
"Tolins Tyres Ltd.","09-Sep-2024","226","230.00","11.43","28.72","22.31","17.83","16-Sep-2024","228.00","239.40","5.93"
"Kross Ltd.","09-Sep-2024","240","500.00","10.44","23.36","11.48","12.74","16-Sep-2024","240.00","259.81","8.25"
"Shree Tirupati Balajee Agro Trading Co.Ltd.","05-Sep-2024","83","169.65","60.56","209.02","71.62","86.70","12-Sep-2024","90.00","94.50","13.86"
"Gala Precision Engineering Ltd.","02-Sep-2024","529","167.93","92.68","425.84","102.38","145.78","09-Sep-2024","721.10","757.15","43.13"
"Baazar Style Retail Ltd.","30-Aug-2024","389","834.68","33.32","59.53","9.36","28.83","06-Sep-2024","389.00","400.00","2.83"
"ECOS (India) Mobility & Hospitality Ltd.","28-Aug-2024","334","601.20","55.38","70.23","19.31","44.98","04-Sep-2024","390.00","443.15","32.68"
"Premier Energies Ltd.","27-Aug-2024","450","2,830.40","85.49","50.73","7.59","52.82","03-Sep-2024","990.00","839.90","86.64"
