"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"Innova Captab Ltd.","21-Dec-2023","448","570.00","46.93","65.01","17.02","39.17","29-Dec-2023","452.10","541.40","20.85"
"Azad Engineering Ltd.","20-Dec-2023","524","740.00","72.25","90.49","23.95","57.77","28-Dec-2023","720.00","677.50","29.29"
"RBZ Jewellers Ltd.","19-Dec-2023","100","100.00","6.19","9.12","24.78","13.58","27-Dec-2023","100.00","105.00","5"
"Credo Brands Marketing Ltd.","19-Dec-2023","280","549.78","43.39","52.27","19.47","36.35","27-Dec-2023","282.35","312.20","11.5"
"Happy Forgings Ltd.","19-Dec-2023","850","1,008.59","86.32","63.14","15.02","57.89","27-Dec-2023","1,000.00","1,030.80","21.27"
"Muthoot Microfin Ltd.","18-Dec-2023","291","960.00","7.98","13.59","7.82","8.68","26-Dec-2023","275.30","266.15","-8.54"
"Motisons Jewellers Ltd.","18-Dec-2023","55","151.09","64.92","705.88","117.44","213.54","26-Dec-2023","109.00","103.55","88.27"
"Suraj Estate Developers Ltd.","18-Dec-2023","360","400.00","10.92","19.89","9.54","11.78","26-Dec-2023","340.00","334.50","-7.08"
"Inox India Ltd.","14-Dec-2023","660","1,459.32","59.58","52.74","14.68","42.84","21-Dec-2023","949.65","939.95","42.42"
"India Shelter Finance Corp.Ltd.","13-Dec-2023","493","1,200.00","38.26","29.76","10.07","27.12","20-Dec-2023","620.00","544.70","10.49"
"DOMS Industries Ltd.","13-Dec-2023","790","1,200.00","49.34","69.44","70.14","54.19","20-Dec-2023","1,400.00","1,326.05","67.85"
"Flair Writing Industries Ltd.","22-Nov-2023","304","593.00","49.32","35.58","13.37","34.68","01-Dec-2023","501.00","450.90","48.32"
"Tata Technologies Ltd.","22-Nov-2023","500","3,042.51","81.79","62.87","16.01","51.18","30-Nov-2023","1,200.00","1,313.00","162.6"
"Gandhar Oil Refinery (India) Ltd.","22-Nov-2023","169","500.69","52.11","64.99","29.09","45.99","30-Nov-2023","298.00","301.40","78.34"
"Fedbank Financial Services Ltd.","22-Nov-2023","140","1,092.26","2.03","1.51","1.80","1.85","30-Nov-2023","138.00","140.25","0.18"
"Indian Renewable Energy Development Agency Ltd.","21-Nov-2023","32","2,150.21","42.69","22.98","7.53","27.35","29-Nov-2023","50.00","60.00","87.5"
