"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"Garden Reach Shipbuilders & Engineers Ltd.","24-Sep-2018","118","343.59","1.81","0.30","0.21","1.01","10-Oct-2018","102.50","103.30","-12.46"
"Aavas Financiers Ltd.","25-Sep-2018","821","1,640.32","1.76","0.14","0.20","0.97","08-Oct-2018","750.00","774.35","-5.68"
"IRCON International Ltd.","17-Sep-2018","475","466.93","12.28","3.73","9.46","9.52","28-Sep-2018","412.00","415.30","-12.57"
"CreditAccess Grameen Ltd.","08-Aug-2018","422","1,131.19","2.88","0.37","0.75","1.76","23-Aug-2018","390.00","422.05","0.01"
"HDFC Asset Management Co.Ltd.","25-Jul-2018","1,100","2,800.33","77.51","194.39","6.22","61.39","06-Aug-2018","1,726.25","1,815.95","65.09"
"TCNS Clothing Co.Ltd.","18-Jul-2018","716","1,125.13","6.09","4.89","0.53","3.96","30-Jul-2018","716.00","659.15","-7.94"
"Varroc Engineering Ltd.","26-Jun-2018","967","1,955.18","4.27","1.51","0.87","2.65","06-Jul-2018","1,015.00","1,037.35","7.28"
"RITES Ltd.","20-Jun-2018","185","460.51","71.97","192.55","14.87","66.77","02-Jul-2018","190.00","213.30","15.3"
"Fine Organic Industries Ltd.","20-Jun-2018","783","600.17","6.46","18.75","1.51","6.57","02-Jul-2018","815.00","822.80","5.08"
"IndoStar Capital Finance Ltd.","09-May-2018","572","1,844.00","6.75","7.85","1.40","5.04","21-May-2018","600.00","586.10","2.47"
"Lemon Tree Hotels Ltd.","26-Mar-2018","56","1,038.68","2.18","0.11","0.10","1.14","09-Apr-2018","61.60","71.65","27.95"
"ICICI Securities Ltd.","22-Mar-2018","520","3,480.12","1.00","0.92","0.95","0.95","04-Apr-2018","435.00","445.10","-14.4"
"Mishra Dhatu Nigam Ltd.","21-Mar-2018","90","435.02","1.96","0.11","0.66","1.19","04-Apr-2018","87.00","90.05","0.06"
"Karda Constructions Ltd.","16-Mar-2018","180","77.40","1.55","0.49","1.89","1.30","02-Apr-2018","136.00","142.80","-20.67"
"Sandhar Technologies Ltd.","19-Mar-2018","332","512.48","6.43","6.18","1.30","4.59","02-Apr-2018","346.10","322.15","-2.97"
"Hindustan Aeronautics Ltd.","16-Mar-2018","1,215","4,063.31","1.74","0.03","0.36","0.98","28-Mar-2018","1,152.00","1,132.85","-6.76"
"Bandhan Bank Ltd.","15-Mar-2018","375","4,473.02","16.08","13.81","1.14","10.51","27-Mar-2018","499.00","476.85","27.16"
"Bharat Dynamics Ltd.","13-Mar-2018","428","952.25","1.50","0.44","1.33","1.26","23-Mar-2018","370.00","389.80","-8.93"
"H.G.Infra Engineering Ltd.","26-Feb-2018","270","462.00","3.96","4.64","2.95","3.71","09-Mar-2018","270.00","267.75","-0.83"
"Aster DM Healthcare Ltd.","12-Feb-2018","190","980.14","1.36","0.70","1.11","1.17","26-Feb-2018","183.00","181.55","-4.45"
"Galaxy Surfactants Ltd.","29-Jan-2018","1,480","937.09","22.35","6.63","5.70","14.17","08-Feb-2018","1,525.00","1,700.45","14.9"
"Amber Enterprises India Ltd.","17-Jan-2018","859","599.60","68.59","518.30","11.09","115.10","30-Jan-2018","1,175.00","1,245.25","44.97"
"Newgen Software Technologies Ltd.","16-Jan-2018","245","424.62","6.92","5.38","4.93","5.99","29-Jan-2018","254.10","252.40","3.02"
"Apollo Micro Systems Ltd.","10-Jan-2018","275","156.00","42.09","963.53","39.04","176.42","22-Jan-2018","465.00","441.75","60.64"
