"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"CMS Info Systems Ltd.","21-Dec-2021","216","1,100.00","1.44","0.86","1.26","1.29","31-Dec-2021","220.20","238.20","10.28"
"Supriya Lifescience Ltd.","16-Dec-2021","274","700.00","13.76","162.87","49.31","39.68","28-Dec-2021","421.00","390.85","42.65"
"HP Adhesives Ltd.","15-Dec-2021","274","125.96","1.32","18.21","47.27","8.45","27-Dec-2021","315.00","330.75","20.71"
"Data Patterns (India) Ltd.","14-Dec-2021","585","588.22","74.99","254.89","20.21","82.80","24-Dec-2021","856.05","755.00","29.06"
"Medplus Health Services Ltd.","13-Dec-2021","796","1,398.29","46.21","86.27","4.17","37.36","23-Dec-2021","1,040.00","1,121.15","40.85"
"Metro Brands Ltd.","10-Dec-2021","500","1,367.51","4.01","2.69","0.63","2.63","22-Dec-2021","437.00","493.35","-1.33"
"C.E.Info systems Ltd.","09-Dec-2021","1,033","1,039.61","79.28","423.61","13.18","107.80","21-Dec-2021","1,565.00","1,393.65","34.91"
"Shriram Properties Ltd.","08-Dec-2021","118","600.04","1.37","2.52","8.05","2.20","20-Dec-2021","90.00","99.60","-15.59"
"Rategain Travel Technologies Ltd.","07-Dec-2021","425","1,335.74","3.97","41.63","5.46","9.73","17-Dec-2021","360.00","340.05","-19.99"
"Anand Rathi Wealth Ltd.","02-Dec-2021","550","659.38","1.63","24.40","5.62","6.33","14-Dec-2021","600.00","583.55","6.1"
"Tega Industries Ltd.","01-Dec-2021","453","619.23","86.54","661.87","25.84","151.60","13-Dec-2021","760.00","726.05","60.28"
"Star Health & Allied Insurance Co.Ltd.","30-Nov-2021","900","6,018.68","1.01","0.67","0.59","0.95","10-Dec-2021","845.00","906.85","0.76"
"Go Fashion (India) Ltd.","17-Nov-2021","690","1,013.61","40.74","259.01","42.26","73.63","30-Nov-2021","1,310.00","1,253.70","81.7"
"Tarsons Products Ltd.","15-Nov-2021","662","1,023.54","46.90","183.36","8.89","53.86","26-Nov-2021","682.00","818.40","23.63"
"Latent View Analytics Ltd.","10-Nov-2021","197","600.00","60.57","875.55","106.09","185.32","23-Nov-2021","512.20","488.75","148.1"
"Sapphire Foods India Ltd.","09-Nov-2021","1,180","2,073.25","3.64","3.12","6.65","3.86","18-Nov-2021","1,350.00","1,211.55","2.67"
"One 97 Communications Ltd.","08-Nov-2021","2,150","18,300.00","1.76","0.23","1.27","1.48","18-Nov-2021","1,950.00","1,560.80","-27.4"
"S.J.S.Enterprises Ltd.","01-Nov-2021","542","800.00","1.28","1.82","0.77","1.18","15-Nov-2021","542.00","510.20","-5.87"
"PB Fintech Ltd.","01-Nov-2021","980","5,709.71","11.61","8.02","2.65","10.17","15-Nov-2021","1,150.00","1,202.30","22.68"
"Sigachi Industries Ltd.","01-Nov-2021","163","125.43","32.54","163.23","68.94","64.89","15-Nov-2021","570.00","598.50","267.18"
"Fino Payments Bank Ltd.","29-Oct-2021","577","1,200.29","1.26","0.15","3.78","1.34","12-Nov-2021","544.35","543.90","-5.74"
"FSN E-Commerce Ventures Ltd.","28-Oct-2021","1,125","5,349.72","37.54","110.16","10.28","45.47","10-Nov-2021","2,018.00","2,205.80","96.07"
"Aditya Birla Sun Life AMC Ltd.","29-Sep-2021","712","2,768.26","4.74","2.71","2.36","3.58","11-Oct-2021","715.00","699.45","-1.76"
"Paras Defence & Space Technologies Ltd.","21-Sep-2021","175","170.78","70.75","962.89","100.80","215.09","01-Oct-2021","469.00","492.45","181.4"
"Sansera Engineering Ltd.","14-Sep-2021","744","1,282.52","11.19","11.16","2.34","8.03","24-Sep-2021","811.50","818.55","10.02"
"Ami Organics Ltd.","01-Sep-2021","610","569.64","34.65","155.84","11.30","44.66","14-Sep-2021","910.00","935.00","53.28"
"Vijaya Diagnostic Centre Ltd.","01-Sep-2021","531","1,894.43","5.84","0.88","0.70","3.29","14-Sep-2021","540.00","620.10","16.78"
"Aptus Value Housing Finance India Ltd.","10-Aug-2021","353","2,780.05","13.58","32.71","1.04","12.06","24-Aug-2021","333.00","346.90","-1.73"
"Chemplast Sanmar Ltd.","10-Aug-2021","541","3,850.00","1.72","1.02","1.64","1.61","24-Aug-2021","550.00","535.60","-1"
"Nuvoco Vistas Corp.Ltd.","09-Aug-2021","570","5,000.00","2.34","0.60","0.53","1.45","23-Aug-2021","485.00","531.70","-6.72"
"CarTrade Tech Ltd.","09-Aug-2021","1,618","2,998.51","14.73","39.85","2.30","14.15","20-Aug-2021","1,599.80","1,501.05","-7.23"
"Exxaro Tiles Ltd.","04-Aug-2021","120","160.78","7.81","4.56","32.20","16.12","16-Aug-2021","126.00","132.30","10.25"
"Krsnaa Diagnostics Ltd.","04-Aug-2021","954","1,213.33","20.55","114.47","37.15","35.65","16-Aug-2021","1,005.55","987.00","3.46"
"Windlas Biotech Ltd.","04-Aug-2021","460","401.54","10.23","14.76","20.59","14.54","16-Aug-2021","437.00","407.15","-11.49"
"Devyani International Ltd.","04-Aug-2021","90","1,838.00","38.63","212.03","34.00","64.01","16-Aug-2021","140.90","123.50","37.22"
"Rolex Rings Ltd.","28-Jul-2021","900","731.00","57.88","355.67","21.67","89.88","09-Aug-2021","1,250.00","1,167.00","29.67"
"Glenmark Life Sciences Ltd.","27-Jul-2021","720","1,513.60","15.51","124.82","12.98","31.02","06-Aug-2021","750.00","748.50","3.96"
"Tatva Chintan Pharma Chem Ltd.","16-Jul-2021","1,083","500.00","76.15","503.11","31.37","124.52","29-Jul-2021","2,111.85","2,312.20","113.5"
"Zomato Ltd.","14-Jul-2021","76","9,375.00","22.53","34.44","6.34","22.58","23-Jul-2021","115.00","125.85","65.59"
"G R Infraprojects Ltd.","07-Jul-2021","837","962.37","68.18","236.95","11.11","72.11","19-Jul-2021","1,715.85","1,747.10","108.73"
"Clean Science & Technology Ltd.","07-Jul-2021","900","1,546.62","65.42","206.03","8.09","66.45","19-Jul-2021","1,755.00","1,585.25","76.14"
"India Pesticides Ltd.","23-Jun-2021","296","800.00","18.11","52.96","9.66","20.38","05-Jul-2021","350.00","343.15","15.93"
"Dodla Dairy Ltd.","16-Jun-2021","428","520.18","34.55","73.33","9.70","31.67","28-Jun-2021","550.00","609.90","42.5"
"Krishna Institute of Medical Sciences Ltd.","16-Jun-2021","825","2,143.74","2.74","1.81","2.13","2.52","28-Jun-2021","1,009.00","996.95","20.84"
"Shyam Metalics & Energy Ltd.","14-Jun-2021","306","908.80","63.52","334.48","10.00","84.58","24-Jun-2021","380.00","376.15","22.92"
"Sona BLW Precision Forgings Ltd.","14-Jun-2021","291","5,550.00","2.03","0.36","1.21","1.69","24-Jun-2021","301.00","361.20","24.12"
"Macrotech Developers Ltd.","07-Apr-2021","486","2,500.00","1.83","1.02","0.24","1.14","19-Apr-2021","436.00","465.25","-4.27"
"Barbeque-Nation Hospitality Ltd.","24-Mar-2021","500","452.87","2.65","3.06","9.22","3.35","07-Apr-2021","489.85","587.80","17.56"
"Nazara Technologies Ltd.","17-Mar-2021","1,101","582.69","42.30","387.66","67.76","96.29","30-Mar-2021","1,990.00","1,592.00","44.6"
"Kalyan Jewellers India Ltd.","16-Mar-2021","87","1,174.82","1.75","1.35","2.18","1.84","26-Mar-2021","73.95","75.20","-13.56"
"Suryoday Small Finance Bank Ltd.","17-Mar-2021","305","581.98","1.47","1.18","2.35","1.70","26-Mar-2021","292.00","277.80","-8.92"
"Craftsman Automation Ltd.","15-Mar-2021","1,490","823.70","2.70","2.27","2.73","2.64","25-Mar-2021","1,359.00","1,435.60","-3.65"
"Laxmi Organic Industries Ltd.","15-Mar-2021","130","600.00","71.29","218.79","18.03","74.78","25-Mar-2021","155.50","164.45","26.5"
"Anupam Rasayan India Ltd.","12-Mar-2021","555","760.00","27.06","97.70","9.42","31.00","24-Mar-2021","520.00","526.80","-5.08"
"Easy Trip Planners Ltd.","08-Mar-2021","187","510.00","31.83","383.34","62.95","87.67","19-Mar-2021","212.25","208.45","11.47"
"MTAR Technologies Ltd.","03-Mar-2021","575","596.41","66.64","643.47","25.30","138.70","15-Mar-2021","1,050.00","1,082.50","88.26"
